State,Year,Quarter,District,Transaction_count,Transaction_amount,Region
tamil-nadu,2022,1,Cuddalore ,3854898,7328083169.35031,Southern Region
tamil-nadu,2022,1,Kancheepuram ,13219354,19642924522.879723,Southern Region
tamil-nadu,2022,1,Tiruppur ,12755181,20994558968.02405,Southern Region
tamil-nadu,2022,1,Dharmapuri ,4750920,10116593522.472921,Southern Region
tamil-nadu,2022,1,Thoothukkudi ,2388242,5004713169.898031,Southern Region
tamil-nadu,2022,1,Thanjavur ,2942810,6384285130.794784,Southern Region
tamil-nadu,2022,1,Madurai ,7084562,15309320989.586182,Southern Region
tamil-nadu,2022,1,Tiruvannamalai ,3659658,7478979872.636584,Southern Region
tamil-nadu,2022,1,Salem ,13278693,26325325605.86054,Southern Region
tamil-nadu,2022,1,Nagapattinam ,1501440,3137077070.316338,Southern Region
tamil-nadu,2022,1,Tirupathur ,3403925,6408532952.989394,Southern Region
tamil-nadu,2022,1,Ariyalur ,898502,1840235658.86316,Southern Region
tamil-nadu,2022,1,Chennai ,87458453,135444152912.8249,Southern Region
tamil-nadu,2022,1,The Nilgiris ,1729884,3144464483.7469296,Southern Region
tamil-nadu,2022,1,Erode ,6860000,12788323701.473589,Southern Region
tamil-nadu,2022,1,Karur ,1831500,3768124397.855586,Southern Region
tamil-nadu,2022,1,Kallakkurichi ,2421741,5048000351.991163,Southern Region
tamil-nadu,2022,1,Viluppuram ,2943580,5372428494.622951,Southern Region
tamil-nadu,2022,1,Pudukkottai ,1639483,3677396086.543876,Southern Region
tamil-nadu,2022,1,Perambalur ,834022,1744613505.1576371,Southern Region
tamil-nadu,2022,1,Coimbatore ,30679187,51963955887.09292,Southern Region
tamil-nadu,2022,1,Virudhunagar ,2550440,5676327115.346462,Southern Region
tamil-nadu,2022,1,Dindigul ,3965199,8412785022.744812,Southern Region
tamil-nadu,2022,1,Sivaganga ,1828509,4101854018.7768383,Southern Region
tamil-nadu,2022,1,Tenkasi ,1345693,3196885065.5183153,Southern Region
tamil-nadu,2022,1,Chengalpattu ,19802491,27209616572.777077,Southern Region
tamil-nadu,2022,1,Kanniyakumari ,2597045,5779300862.137162,Southern Region
tamil-nadu,2022,1,Tirunelveli ,2585793,5381065070.681534,Southern Region
tamil-nadu,2022,1,Thiruvallur ,21243322,35412374869.409676,Southern Region
tamil-nadu,2022,1,Theni ,2063736,4611206982.381892,Southern Region
tamil-nadu,2022,1,Ranipet ,2755460,5529848785.373485,Southern Region
tamil-nadu,2022,1,Namakkal ,3415879,7554607821.660088,Southern Region
tamil-nadu,2022,1,Vellore ,4693455,9294845509.816792,Southern Region
tamil-nadu,2022,1,Thiruvarur ,1013347,2334746608.872699,Southern Region
tamil-nadu,2022,2,Tiruchirappalli ,6270815,12634551299.24127,Southern Region
tamil-nadu,2022,2,Ramanathapuram ,1634901,3744853011.614974,Southern Region
tamil-nadu,2022,2,Krishnagiri ,13942838,24721054679.65894,Southern Region
tamil-nadu,2022,2,Cuddalore ,4456802,8117134896.240128,Southern Region
tamil-nadu,2022,2,Kancheepuram ,15868496,22731542491.811832,Southern Region
tamil-nadu,2022,2,Tiruppur ,15482000,23838727353.10485,Southern Region
tamil-nadu,2022,2,Dharmapuri ,5738543,11978363491.18454,Southern Region
tamil-nadu,2022,2,Thoothukkudi ,2904687,5842566259.232947,Southern Region
tamil-nadu,2022,2,Thanjavur ,3489101,7198941291.2239,Southern Region
tamil-nadu,2022,2,Madurai ,8320838,17264493941.688942,Southern Region
tamil-nadu,2022,2,Tiruvannamalai ,4281517,8492400732.338126,Southern Region
tamil-nadu,2022,2,Salem ,16106627,30338068694.55334,Southern Region
tamil-nadu,2022,2,Nagapattinam ,1780491,3563820744.073098,Southern Region
tamil-nadu,2022,2,Tirupathur ,4039898,7419909368.909924,Southern Region
tamil-nadu,2022,2,Ariyalur ,1018572,2099380930.1451178,Southern Region
tamil-nadu,2022,2,Chennai ,105344784,154665269695.6417,Southern Region
tamil-nadu,2022,2,The Nilgiris ,2334296,4192820800.658656,Southern Region
tamil-nadu,2022,2,Erode ,8037374,14313011584.191711,Southern Region
tamil-nadu,2022,2,Karur ,2130679,4285560062.068948,Southern Region
tamil-nadu,2022,2,Kallakkurichi ,2827472,5639207666.8493,Southern Region
tamil-nadu,2022,2,Viluppuram ,3359417,5986428096.992262,Southern Region
tamil-nadu,2022,2,Pudukkottai ,1893795,4133146343.3113685,Southern Region
tamil-nadu,2022,2,Perambalur ,969247,1942588737.127638,Southern Region
tamil-nadu,2022,2,Coimbatore ,36695888,59260276493.12476,Southern Region
tamil-nadu,2022,2,Virudhunagar ,3078392,6563589359.971757,Southern Region
tamil-nadu,2022,2,Dindigul ,4742064,9862085177.478687,Southern Region
tamil-nadu,2022,2,Sivaganga ,2113451,4572110215.141211,Southern Region
tamil-nadu,2022,2,Tenkasi ,1627020,3744115676.1530313,Southern Region
tamil-nadu,2022,2,Chengalpattu ,25456618,33118244166.51247,Southern Region
tamil-nadu,2022,2,Kanniyakumari ,3119680,6825432728.488245,Southern Region
tamil-nadu,2022,2,Tirunelveli ,3088831,6293477478.325725,Southern Region
tamil-nadu,2022,2,Thiruvallur ,25490825,40588215771.869896,Southern Region
tamil-nadu,2022,2,Theni ,2444576,5292036888.261049,Southern Region
tamil-nadu,2022,2,Ranipet ,3219805,6359870289.317292,Southern Region
tamil-nadu,2022,2,Namakkal ,4127139,8629035859.17592,Southern Region
tamil-nadu,2022,2,Vellore ,5911444,11364769190.939379,Southern Region
tamil-nadu,2022,2,Thiruvarur ,1158014,2517626211.773189,Southern Region
tamil-nadu,2022,3,Tiruchirappalli ,8564920,16339844623.273811,Southern Region
tamil-nadu,2022,3,Ramanathapuram ,2203852,4657168292.975974,Southern Region
tamil-nadu,2022,3,Krishnagiri ,14932340,25680854032.52749,Southern Region
tamil-nadu,2022,3,Cuddalore ,4680299,8326894677.322098,Southern Region
tamil-nadu,2022,3,Kancheepuram ,16476680,22598905113.9707,Southern Region
tamil-nadu,2022,3,Tiruppur ,17847117,25599159008.87128,Southern Region
tamil-nadu,2022,3,Dharmapuri ,6110827,12322253266.41552,Southern Region
tamil-nadu,2022,3,Thoothukkudi ,3019557,5929644411.408559,Southern Region
tamil-nadu,2022,3,Thanjavur ,3516046,7247067631.582066,Southern Region
tamil-nadu,2022,3,Madurai ,18854500,34963057317.53805,Southern Region
tamil-nadu,2022,3,Tiruvannamalai ,4546341,8676598240.042645,Southern Region
tamil-nadu,2022,3,Salem ,31403065,50435972371.68587,Southern Region
tamil-nadu,2022,3,Nagapattinam ,1844678,3606593436.59481,Southern Region
tamil-nadu,2022,3,Tirupathur ,4286229,7637805182.874846,Southern Region
tamil-nadu,2022,3,Ariyalur ,1057782,2096516777.8551362,Southern Region
tamil-nadu,2022,3,Chennai ,42908667,65344650467.52281,Southern Region
tamil-nadu,2022,3,The Nilgiris ,2499125,4071937674.855021,Southern Region
tamil-nadu,2022,3,Erode ,9576460,15897874506.90147,Southern Region
tamil-nadu,2022,3,Karur ,2308386,4542659398.617557,Southern Region
tamil-nadu,2022,3,Kallakkurichi ,3031305,5829974361.302319,Southern Region
tamil-nadu,2022,3,Viluppuram ,3531557,6179829272.664678,Southern Region
tamil-nadu,2022,3,Pudukkottai ,2149117,4536703248.458713,Southern Region
tamil-nadu,2022,3,Perambalur ,1062776,2063752415.634982,Southern Region
tamil-nadu,2022,3,Coimbatore ,43610373,63815834929.892395,Southern Region
tamil-nadu,2022,3,Virudhunagar ,3256212,6768626547.405922,Southern Region
tamil-nadu,2022,3,Dindigul ,5468519,11010004404.18798,Southern Region
tamil-nadu,2022,3,Sivaganga ,2158718,4655481935.624228,Southern Region
tamil-nadu,2022,3,Tenkasi ,1743856,3976292693.820149,Southern Region
tamil-nadu,2022,3,Chengalpattu ,78987490,106079722725.6662,Southern Region
tamil-nadu,2022,3,Kanniyakumari ,3457993,7370866205.985282,Southern Region
tamil-nadu,2022,3,Tirunelveli ,3362624,6665454588.874086,Southern Region
tamil-nadu,2022,3,Thiruvallur ,25690184,40124901027.15738,Southern Region
tamil-nadu,2022,3,Theni ,2726196,5802007462.4081335,Southern Region
tamil-nadu,2022,3,Ranipet ,3307025,6087756257.31634,Southern Region
tamil-nadu,2022,3,Namakkal ,5427150,10398967389.719389,Southern Region
tamil-nadu,2022,3,Vellore ,6719587,12004282971.36342,Southern Region
tamil-nadu,2022,3,Thiruvarur ,1168622,2533305502.950427,Southern Region
tamil-nadu,2022,4,Tiruchirappalli ,10348183,18674871633.79885,Southern Region
tamil-nadu,2022,4,Ramanathapuram ,2536980,5131912118.760078,Southern Region
tamil-nadu,2022,4,Krishnagiri ,16419186,27528800881.08297,Southern Region
tamil-nadu,2022,4,Cuddalore ,5504268,9263849009.273397,Southern Region
tamil-nadu,2022,4,Kancheepuram ,17540782,22979273761.17814,Southern Region
tamil-nadu,2022,4,Tiruppur ,20078625,27993817372.8847,Southern Region
tamil-nadu,2022,4,Dharmapuri ,6657535,13284210841.00969,Southern Region
tamil-nadu,2022,4,Thoothukkudi ,3656395,6774717593.0606575,Southern Region
tamil-nadu,2022,4,Thanjavur ,4047728,7929388570.071096,Southern Region
tamil-nadu,2022,4,Madurai ,21930141,39075713283.659035,Southern Region
tamil-nadu,2022,4,Tiruvannamalai ,5236271,9545432273.854141,Southern Region
tamil-nadu,2022,4,Salem ,33193962,52189264730.86203,Southern Region
tamil-nadu,2022,4,Nagapattinam ,1958358,3688142192.789018,Southern Region
tamil-nadu,2022,4,Tirupathur ,4764895,8186140455.240454,Southern Region
tamil-nadu,2022,4,Ariyalur ,1245030,2323435387.037087,Southern Region
tamil-nadu,2022,4,Chennai ,36087169,52708969517.53117,Southern Region
tamil-nadu,2022,4,The Nilgiris ,2829489,4520156369.4038925,Southern Region
tamil-nadu,2022,4,Erode ,8133010,13727797354.99751,Southern Region
tamil-nadu,2022,4,Karur ,2534064,4869161063.1155205,Southern Region
tamil-nadu,2022,4,Kallakkurichi ,3330128,6197053072.30322,Southern Region
tamil-nadu,2022,4,Viluppuram ,3886476,6442185710.507915,Southern Region
tamil-nadu,2022,4,Pudukkottai ,2351358,4756557513.936827,Southern Region
tamil-nadu,2022,4,Perambalur ,1139212,2139737159.8272593,Southern Region
tamil-nadu,2022,4,Coimbatore ,40259816,56926594389.65878,Southern Region
tamil-nadu,2022,4,Virudhunagar ,3538938,7070008076.062214,Southern Region
tamil-nadu,2022,4,Dindigul ,6357637,12201984709.7585,Southern Region
tamil-nadu,2022,4,Sivaganga ,2386560,4894047781.374544,Southern Region
tamil-nadu,2022,4,Tenkasi ,1883458,4139835704.6142645,Southern Region
tamil-nadu,2022,4,Chengalpattu ,109159290,143850411731.0355,Southern Region
tamil-nadu,2022,4,Kanniyakumari ,3950782,8142588843.674078,Southern Region
tamil-nadu,2022,4,Tirunelveli ,4027170,7605241924.228041,Southern Region
tamil-nadu,2022,4,Thiruvallur ,27335584,41018657465.028946,Southern Region
tamil-nadu,2022,4,Theni ,3444290,6887377073.070898,Southern Region
tamil-nadu,2022,4,Ranipet ,3737957,6482440332.589866,Southern Region
tamil-nadu,2022,4,Namakkal ,6710663,12192052206.51393,Southern Region
tamil-nadu,2022,4,Vellore ,6821759,11677039040.34467,Southern Region
tamil-nadu,2022,4,Thiruvarur ,1293487,2670800447.304533,Southern Region
tamil-nadu,2019,1,Tiruchirappalli ,739515,1460934059.6618772,Southern Region
tamil-nadu,2019,1,Ramanathapuram ,117510,261212990.57586712,Southern Region
tamil-nadu,2019,1,Krishnagiri ,848874,1549327562.475432,Southern Region
tamil-nadu,2019,1,Cuddalore ,371882,699951874.4703772,Southern Region
tamil-nadu,2019,1,Kancheepuram ,1732340,2735468905.1703753,Southern Region
tamil-nadu,2019,1,Tiruppur ,1078231,2186722074.2626576,Southern Region
tamil-nadu,2019,1,Dharmapuri ,331500,668652808.0588444,Southern Region
tamil-nadu,2019,1,Thoothukkudi ,180015,359895560.14600235,Southern Region
tamil-nadu,2019,1,Thanjavur ,405498,669639245.9756603,Southern Region
tamil-nadu,2019,1,Madurai ,662080,1386372054.513937,Southern Region
tamil-nadu,2019,1,Tiruvannamalai ,335517,587600686.1729097,Southern Region
tamil-nadu,2019,1,Salem ,949562,1916555034.695397,Southern Region
tamil-nadu,2019,1,Nagapattinam ,124400,244377942.6722074,Southern Region
tamil-nadu,2019,1,Tirupathur ,202883,385038982.587596,Southern Region
tamil-nadu,2019,1,Ariyalur ,73816,152352863.7204273,Southern Region
tamil-nadu,2019,1,Chennai ,11642449,18810971714.513683,Southern Region
tamil-nadu,2019,1,The Nilgiris ,158492,309832942.5684387,Southern Region
tamil-nadu,2019,1,Erode ,530256,1057858607.5326339,Southern Region
tamil-nadu,2019,1,Karur ,185137,377068327.0145311,Southern Region
tamil-nadu,2019,1,Kallakkurichi ,156496,337609667.6977157,Southern Region
tamil-nadu,2019,1,Viluppuram ,286859,514030368.82836896,Southern Region
tamil-nadu,2019,1,Pudukkottai ,184227,348619009.3228488,Southern Region
tamil-nadu,2019,1,Perambalur ,67010,140622320.1727047,Southern Region
tamil-nadu,2019,1,Coimbatore ,2709665,5072064993.630945,Southern Region
tamil-nadu,2019,1,Virudhunagar ,222473,434593501.06841797,Southern Region
tamil-nadu,2019,1,Dindigul ,296645,653290732.3983055,Southern Region
tamil-nadu,2019,1,Sivaganga ,159965,364945762.4726825,Southern Region
tamil-nadu,2019,1,Tenkasi ,126012,235423158.3782131,Southern Region
tamil-nadu,2019,1,Chengalpattu ,3285713,4918695631.396447,Southern Region
tamil-nadu,2019,1,Kanniyakumari ,181053,403789101.66413933,Southern Region
tamil-nadu,2019,1,Tirunelveli ,206676,446437662.99563986,Southern Region
tamil-nadu,2019,1,Thiruvallur ,2305713,3957616692.241628,Southern Region
tamil-nadu,2019,1,Theni ,141271,316272934.58338934,Southern Region
tamil-nadu,2019,1,Ranipet ,275147,468967113.3991915,Southern Region
tamil-nadu,2019,1,Namakkal ,381248,779612379.6185098,Southern Region
tamil-nadu,2019,1,Vellore ,521653,796074971.7121506,Southern Region
tamil-nadu,2019,1,Thiruvarur ,97262,195536577.76177222,Southern Region
tamil-nadu,2019,2,Tiruchirappalli ,776306,1748258486.294492,Southern Region
tamil-nadu,2019,2,Ramanathapuram ,123783,296811295.8616359,Southern Region
tamil-nadu,2019,2,Krishnagiri ,663016,1504554589.80862,Southern Region
tamil-nadu,2019,2,Cuddalore ,338724,724326506.6539905,Southern Region
tamil-nadu,2019,2,Kancheepuram ,1656532,2936409443.598878,Southern Region
tamil-nadu,2019,2,Tiruppur ,1179119,2631888252.799778,Southern Region
tamil-nadu,2019,2,Dharmapuri ,323447,750439298.4748436,Southern Region
tamil-nadu,2019,2,Thoothukkudi ,185632,412772487.6535857,Southern Region
tamil-nadu,2019,2,Thanjavur ,339651,680121355.5242591,Southern Region
tamil-nadu,2019,2,Madurai ,741073,1703311128.18451,Southern Region
tamil-nadu,2019,2,Tiruvannamalai ,321071,651936392.503907,Southern Region
tamil-nadu,2019,2,Salem ,1018100,2340941775.7458673,Southern Region
tamil-nadu,2019,2,Nagapattinam ,134853,288878413.07613444,Southern Region
tamil-nadu,2019,2,Tirupathur ,206045,439049538.03820497,Southern Region
tamil-nadu,2019,2,Ariyalur ,78382,182726352.9046266,Southern Region
tamil-nadu,2019,2,Chennai ,10577435,20366477248.325928,Southern Region
tamil-nadu,2019,2,The Nilgiris ,137469,343730237.7547302,Southern Region
tamil-nadu,2019,2,Erode ,618730,1395266699.39232,Southern Region
tamil-nadu,2019,2,Karur ,179180,416267818.15522075,Southern Region
tamil-nadu,2019,2,Kallakkurichi ,166891,378429511.93736297,Southern Region
