State,Year,Quarter,District,Registered_users,Region
Nagaland,2021,3,Kiphire,4626,North Central Region
Nagaland,2021,4,Dimapur,117388,North Central Region
Nagaland,2021,4,Kohima,46621,North Central Region
Nagaland,2021,4,Mon,20409,North Central Region
Nagaland,2021,4,Mokokchung,19747,North Central Region
Nagaland,2021,4,Wokha,11994,North Central Region
Nagaland,2021,4,Tuensang,11300,North Central Region
Nagaland,2021,4,Phek,9753,North Central Region
Nagaland,2021,4,Zunheboto,7765,North Central Region
Nagaland,2021,4,Peren,5509,North Central Region
Nagaland,2021,4,Kiphire,5047,North Central Region
Nagaland,2020,1,Dimapur,53696,North Central Region
Nagaland,2020,1,Kohima,20644,North Central Region
Nagaland,2020,1,Mokokchung,7626,North Central Region
Nagaland,2020,1,Mon,5747,North Central Region
Nagaland,2020,1,Wokha,4118,North Central Region
Nagaland,2020,1,Phek,3637,North Central Region
Nagaland,2020,1,Tuensang,3634,North Central Region
Nagaland,2020,1,Zunheboto,2898,North Central Region
Nagaland,2020,1,Peren,1899,North Central Region
Nagaland,2020,1,Kiphire,1814,North Central Region
Nagaland,2020,2,Dimapur,63398,North Central Region
Nagaland,2020,2,Kohima,24236,North Central Region
Nagaland,2020,2,Mokokchung,9559,North Central Region
Nagaland,2020,2,Mon,7917,North Central Region
Nagaland,2020,2,Wokha,5296,North Central Region
Nagaland,2020,2,Tuensang,4779,North Central Region
Nagaland,2020,2,Phek,4535,North Central Region
Nagaland,2020,2,Zunheboto,3647,North Central Region
Nagaland,2020,2,Peren,2534,North Central Region
Nagaland,2020,2,Kiphire,2423,North Central Region
Nagaland,2020,3,Dimapur,79061,North Central Region
Nagaland,2020,3,Kohima,31483,North Central Region
Nagaland,2020,3,Mon,13591,North Central Region
Nagaland,2020,3,Mokokchung,13155,North Central Region
Nagaland,2020,3,Wokha,7980,North Central Region
Nagaland,2020,3,Tuensang,7220,North Central Region
Nagaland,2020,3,Phek,6151,North Central Region
Nagaland,2020,3,Zunheboto,4942,North Central Region
Nagaland,2020,3,Peren,3486,North Central Region
Nagaland,2020,3,Kiphire,3306,North Central Region
Nagaland,2020,4,Dimapur,87807,North Central Region
Nagaland,2020,4,Kohima,34872,North Central Region
Nagaland,2020,4,Mon,14932,North Central Region
Nagaland,2020,4,Mokokchung,14511,North Central Region
Nagaland,2020,4,Wokha,8821,North Central Region
Nagaland,2020,4,Tuensang,8177,North Central Region
Nagaland,2020,4,Phek,6888,North Central Region
Nagaland,2020,4,Zunheboto,5541,North Central Region
Nagaland,2020,4,Peren,3919,North Central Region
Nagaland,2020,4,Kiphire,3629,North Central Region
Nagaland,2018,1,Dimapur,8249,North Central Region
Nagaland,2018,1,Kohima,3036,North Central Region
Nagaland,2018,1,Mokokchung,1043,North Central Region
Nagaland,2018,1,Mon,525,North Central Region
Nagaland,2018,1,Phek,487,North Central Region
Nagaland,2018,1,Wokha,465,North Central Region
Nagaland,2018,1,Zunheboto,385,North Central Region
Nagaland,2018,1,Tuensang,377,North Central Region
Nagaland,2018,1,Peren,218,North Central Region
Nagaland,2018,1,Kiphire,168,North Central Region
Nagaland,2018,2,Dimapur,12093,North Central Region
Nagaland,2018,2,Kohima,4395,North Central Region
Nagaland,2018,2,Mokokchung,1616,North Central Region
Nagaland,2018,2,Mon,892,North Central Region
Nagaland,2018,2,Phek,736,North Central Region
Nagaland,2018,2,Wokha,703,North Central Region
Nagaland,2018,2,Tuensang,594,North Central Region
Nagaland,2018,2,Zunheboto,593,North Central Region
Nagaland,2018,2,Peren,358,North Central Region
Nagaland,2018,2,Kiphire,258,North Central Region
Nagaland,2018,3,Dimapur,17039,North Central Region
Nagaland,2018,3,Kohima,6298,North Central Region
Nagaland,2018,3,Mokokchung,2313,North Central Region
Nagaland,2018,3,Mon,1287,North Central Region
Nagaland,2018,3,Phek,1083,North Central Region
Nagaland,2018,3,Wokha,1017,North Central Region
Nagaland,2018,3,Tuensang,934,North Central Region
Nagaland,2018,3,Zunheboto,821,North Central Region
Nagaland,2018,3,Peren,526,North Central Region
Nagaland,2018,3,Kiphire,465,North Central Region
Nagaland,2018,4,Dimapur,22603,North Central Region
Nagaland,2018,4,Kohima,8583,North Central Region
Nagaland,2018,4,Mokokchung,2986,North Central Region
Nagaland,2018,4,Mon,1884,North Central Region
Nagaland,2018,4,Phek,1419,North Central Region
Nagaland,2018,4,Wokha,1391,North Central Region
Nagaland,2018,4,Tuensang,1261,North Central Region
Nagaland,2018,4,Zunheboto,1099,North Central Region
Nagaland,2018,4,Peren,710,North Central Region
Nagaland,2018,4,Kiphire,661,North Central Region
