State,Year,Quarter,District,Registered_users,App_opens,Region
uttar-pradesh,2019,2,Hapur ,114161,622916,Central Region
uttar-pradesh,2019,2,Hamirpur ,51539,232752,Central Region
uttar-pradesh,2019,2,Meerut ,361091,1860402,Central Region
uttar-pradesh,2019,2,Mathura ,233342,1178523,Central Region
uttar-pradesh,2019,2,Chitrakoot ,34500,166865,Central Region
uttar-pradesh,2019,2,Lalitpur ,59896,284815,Central Region
uttar-pradesh,2019,2,Mau ,119403,576483,Central Region
uttar-pradesh,2019,2,Mirzapur ,133781,600547,Central Region
uttar-pradesh,2019,2,Bulandshahr ,202244,1011079,Central Region
uttar-pradesh,2019,2,Gonda ,118179,634322,Central Region
uttar-pradesh,2019,2,Jhansi ,203616,1100362,Central Region
uttar-pradesh,2019,2,Chandauli ,124160,605956,Central Region
uttar-pradesh,2019,2,Bhadohi ,92475,462812,Central Region
uttar-pradesh,2019,2,Pratapgarh ,142016,702461,Central Region
uttar-pradesh,2019,2,Saharanpur ,228553,1142688,Central Region
uttar-pradesh,2019,2,Bara Banki ,111354,538725,Central Region
uttar-pradesh,2019,2,Bareilly ,318597,1525618,Central Region
uttar-pradesh,2019,2,Sitapur ,144888,553406,Central Region
uttar-pradesh,2019,2,Sultanpur ,122590,642939,Central Region
uttar-pradesh,2019,2,Agra ,461224,2284003,Central Region
uttar-pradesh,2019,2,Fatehpur ,83992,365618,Central Region
uttar-pradesh,2019,2,Rae Bareli ,107073,490413,Central Region
uttar-pradesh,2019,2,Firozabad ,137236,605193,Central Region
uttar-pradesh,2019,2,Kheri ,158463,629067,Central Region
uttar-pradesh,2019,2,Gorakhpur ,387961,2091934,Central Region
uttar-pradesh,2019,2,Unnao ,110987,510176,Central Region
uttar-pradesh,2019,2,Prayagraj ,602739,3285624,Central Region
uttar-pradesh,2019,2,Sonbhadra ,120480,662811,Central Region
uttar-pradesh,2019,2,Ghazipur ,213624,1153220,Central Region
uttar-pradesh,2019,2,Farrukhabad ,85295,384237,Central Region
uttar-pradesh,2019,2,Kannauj ,72533,317719,Central Region
uttar-pradesh,2019,2,Azamgarh ,235609,1217447,Central Region
uttar-pradesh,2019,2,Ayodhya ,156282,750453,Central Region
uttar-pradesh,2019,2,Deoria ,199594,1158198,Central Region
uttar-pradesh,2019,2,Ghaziabad ,975605,6433258,Central Region
uttar-pradesh,2019,3,Amethi ,105040,1342325,Central Region
uttar-pradesh,2019,3,Siddharthnagar ,99879,1663441,Central Region
uttar-pradesh,2019,3,Auraiya ,81392,1086852,Central Region
uttar-pradesh,2019,3,Sambhal ,80158,914102,Central Region
uttar-pradesh,2019,3,Kanpur Nagar ,655175,10991280,Central Region
uttar-pradesh,2019,3,Aligarh ,301404,4667055,Central Region
uttar-pradesh,2019,3,Mahoba ,42896,501799,Central Region
uttar-pradesh,2019,3,Lucknow ,1124832,22146904,Central Region
uttar-pradesh,2019,3,Sant Kabeer Nagar ,81569,1187005,Central Region
uttar-pradesh,2019,3,Hathras ,96057,1271021,Central Region
uttar-pradesh,2019,3,Budaun ,104296,1202610,Central Region
uttar-pradesh,2019,3,Moradabad ,198184,2672363,Central Region
uttar-pradesh,2019,3,Kushinagar ,228387,3603260,Central Region
uttar-pradesh,2019,3,Baghpat ,106317,1584692,Central Region
uttar-pradesh,2019,3,Shahjahanpur ,131285,1545078,Central Region
uttar-pradesh,2019,3,Muzaffarnagar ,195954,2676545,Central Region
uttar-pradesh,2019,3,Ambedkar Nagar ,134984,1748188,Central Region
uttar-pradesh,2019,3,Bahraich ,90019,1164262,Central Region
uttar-pradesh,2019,3,Jalaun ,103258,1218452,Central Region
uttar-pradesh,2019,3,Rampur ,102150,1315599,Central Region
uttar-pradesh,2019,3,Ballia ,220174,2864754,Central Region
uttar-pradesh,2019,3,Shravasti ,21992,308571,Central Region
uttar-pradesh,2019,3,Kasganj ,63472,804909,Central Region
uttar-pradesh,2019,3,Varanasi ,639586,9534643,Central Region
uttar-pradesh,2019,3,Gautam Buddha Nagar ,1415905,43577747,Central Region
uttar-pradesh,2019,3,Basti ,142135,2080225,Central Region
uttar-pradesh,2019,3,Shamli ,80923,1100345,Central Region
uttar-pradesh,2019,3,Maharajganj ,148207,2032349,Central Region
uttar-pradesh,2019,3,Etawah ,107062,1432296,Central Region
uttar-pradesh,2019,3,Etah ,86419,1086491,Central Region
uttar-pradesh,2019,3,Banda ,66504,786751,Central Region
uttar-pradesh,2019,3,Bijnor ,189782,2433046,Central Region
uttar-pradesh,2019,3,Hardoi ,126364,1475185,Central Region
uttar-pradesh,2019,3,Balrampur ,59530,851300,Central Region
uttar-pradesh,2019,3,Amroha ,101730,1318323,Central Region
uttar-pradesh,2019,3,Pilibhit ,98268,1168729,Central Region
uttar-pradesh,2019,3,Mainpuri ,101932,1213979,Central Region
uttar-pradesh,2019,3,Kanpur Dehat ,74296,1023191,Central Region
uttar-pradesh,2019,3,Jaunpur ,294998,4005808,Central Region
uttar-pradesh,2019,3,Kaushambi ,49359,607775,Central Region
uttar-pradesh,2019,3,Hapur ,130436,2172113,Central Region
uttar-pradesh,2019,3,Hamirpur ,56997,684555,Central Region
uttar-pradesh,2019,3,Meerut ,408972,6542889,Central Region
uttar-pradesh,2019,3,Mathura ,268573,4305472,Central Region
uttar-pradesh,2019,3,Chitrakoot ,38341,494613,Central Region
uttar-pradesh,2019,3,Lalitpur ,66906,926012,Central Region
uttar-pradesh,2019,3,Mau ,132663,1544541,Central Region
uttar-pradesh,2019,3,Mirzapur ,146634,1841969,Central Region
uttar-pradesh,2019,3,Bulandshahr ,230896,3501708,Central Region
uttar-pradesh,2019,3,Gonda ,132341,1980000,Central Region
uttar-pradesh,2019,3,Jhansi ,227191,3924391,Central Region
uttar-pradesh,2019,3,Chandauli ,136786,1797089,Central Region
uttar-pradesh,2019,3,Bhadohi ,102914,1313875,Central Region
uttar-pradesh,2019,3,Pratapgarh ,159596,1972207,Central Region
uttar-pradesh,2019,3,Saharanpur ,259929,4079780,Central Region
uttar-pradesh,2019,3,Bara Banki ,125166,1859154,Central Region
uttar-pradesh,2019,3,Bareilly ,356146,5230735,Central Region
uttar-pradesh,2019,3,Sitapur ,166391,1924121,Central Region
uttar-pradesh,2019,3,Sultanpur ,137062,1854511,Central Region
uttar-pradesh,2019,3,Agra ,530228,8406324,Central Region
uttar-pradesh,2019,3,Fatehpur ,94067,1090188,Central Region
uttar-pradesh,2019,3,Rae Bareli ,119176,1501090,Central Region
uttar-pradesh,2019,3,Firozabad ,161983,2185433,Central Region
uttar-pradesh,2019,3,Kheri ,180345,2036254,Central Region
uttar-pradesh,2019,3,Gorakhpur ,434172,6497238,Central Region
uttar-pradesh,2019,3,Unnao ,125933,1695964,Central Region
uttar-pradesh,2019,3,Prayagraj ,667277,12165883,Central Region
uttar-pradesh,2019,3,Sonbhadra ,131881,2139255,Central Region
uttar-pradesh,2019,3,Ghazipur ,236041,3065015,Central Region
uttar-pradesh,2019,3,Farrukhabad ,97522,1293796,Central Region
uttar-pradesh,2019,3,Kannauj ,83346,955283,Central Region
uttar-pradesh,2019,3,Azamgarh ,261840,3189197,Central Region
uttar-pradesh,2019,3,Ayodhya ,173259,2331698,Central Region
uttar-pradesh,2019,3,Deoria ,223155,3210571,Central Region
uttar-pradesh,2019,3,Ghaziabad ,1088568,24220432,Central Region
uttar-pradesh,2019,4,Amethi ,119989,1875981,Central Region
uttar-pradesh,2019,4,Siddharthnagar ,114847,2067454,Central Region
uttar-pradesh,2019,4,Auraiya ,93568,1473547,Central Region
uttar-pradesh,2019,4,Sambhal ,91975,1138121,Central Region
uttar-pradesh,2019,4,Kanpur Nagar ,718251,12118926,Central Region
uttar-pradesh,2019,4,Aligarh ,341948,5432058,Central Region
uttar-pradesh,2019,4,Mahoba ,48561,682263,Central Region
uttar-pradesh,2019,4,Lucknow ,1221681,23929164,Central Region
uttar-pradesh,2019,4,Sant Kabeer Nagar ,92544,1546025,Central Region
uttar-pradesh,2019,4,Hathras ,110768,1669269,Central Region
uttar-pradesh,2019,4,Budaun ,120524,1573864,Central Region
uttar-pradesh,2019,4,Moradabad ,224285,3295770,Central Region
uttar-pradesh,2019,4,Kushinagar ,259562,4902506,Central Region
uttar-pradesh,2019,4,Baghpat ,121201,2054257,Central Region
uttar-pradesh,2019,4,Shahjahanpur ,148797,1931338,Central Region
uttar-pradesh,2019,4,Muzaffarnagar ,220338,3035679,Central Region
uttar-pradesh,2019,4,Ambedkar Nagar ,152821,2397553,Central Region
uttar-pradesh,2019,4,Bahraich ,102918,1480418,Central Region
uttar-pradesh,2019,4,Jalaun ,116051,1660032,Central Region
uttar-pradesh,2019,4,Rampur ,115637,1650786,Central Region
uttar-pradesh,2019,4,Ballia ,248506,4021687,Central Region
uttar-pradesh,2019,4,Shravasti ,25490,386148,Central Region
uttar-pradesh,2019,4,Kasganj ,73208,1007616,Central Region
uttar-pradesh,2019,4,Varanasi ,706509,14259001,Central Region
uttar-pradesh,2019,4,Gautam Buddha Nagar ,1537791,49427785,Central Region
uttar-pradesh,2019,4,Basti ,160858,2738402,Central Region
uttar-pradesh,2019,4,Shamli ,91706,1340147,Central Region
uttar-pradesh,2019,4,Maharajganj ,167678,2591252,Central Region
uttar-pradesh,2019,4,Etawah ,121909,1971673,Central Region
uttar-pradesh,2019,4,Etah ,100034,1406566,Central Region
uttar-pradesh,2019,4,Banda ,75355,1065358,Central Region
uttar-pradesh,2019,4,Bijnor ,215311,2961546,Central Region
uttar-pradesh,2019,4,Hardoi ,145034,1923457,Central Region
uttar-pradesh,2019,4,Balrampur ,68993,1097032,Central Region
uttar-pradesh,2019,4,Amroha ,115341,1652691,Central Region
uttar-pradesh,2019,4,Pilibhit ,112045,1467544,Central Region
uttar-pradesh,2019,4,Mainpuri ,117848,1597087,Central Region
uttar-pradesh,2019,4,Kanpur Dehat ,86285,1397491,Central Region
uttar-pradesh,2019,4,Jaunpur ,331857,5106619,Central Region
uttar-pradesh,2019,4,Kaushambi ,57618,828838,Central Region
uttar-pradesh,2019,4,Hapur ,147702,2681351,Central Region
uttar-pradesh,2019,4,Hamirpur ,64136,910972,Central Region
uttar-pradesh,2019,4,Meerut ,455353,7640227,Central Region
uttar-pradesh,2019,4,Mathura ,306611,5241778,Central Region
uttar-pradesh,2019,4,Chitrakoot ,43677,667112,Central Region
uttar-pradesh,2019,4,Lalitpur ,75748,1185717,Central Region
uttar-pradesh,2019,4,Mau ,148820,2155682,Central Region
uttar-pradesh,2019,4,Mirzapur ,164373,2442525,Central Region
uttar-pradesh,2019,4,Bulandshahr ,262361,4318129,Central Region
uttar-pradesh,2019,4,Gonda ,150012,2511266,Central Region
uttar-pradesh,2019,4,Jhansi ,252380,4653031,Central Region
uttar-pradesh,2019,4,Chandauli ,154068,2538230,Central Region
uttar-pradesh,2019,4,Bhadohi ,116323,1716318,Central Region
uttar-pradesh,2019,4,Pratapgarh ,182182,2655080,Central Region
uttar-pradesh,2019,4,Saharanpur ,290730,4961771,Central Region
uttar-pradesh,2019,4,Bara Banki ,142882,2306594,Central Region
uttar-pradesh,2019,4,Bareilly ,398897,6261447,Central Region
uttar-pradesh,2019,4,Sitapur ,194588,2277928,Central Region
uttar-pradesh,2019,4,Sultanpur ,155081,2485807,Central Region
uttar-pradesh,2019,4,Agra ,593453,9403661,Central Region
uttar-pradesh,2019,4,Fatehpur ,107650,1432832,Central Region
uttar-pradesh,2019,4,Rae Bareli ,134591,1958605,Central Region
uttar-pradesh,2019,4,Firozabad ,188556,2565909,Central Region
uttar-pradesh,2019,4,Kheri ,209667,2680169,Central Region
uttar-pradesh,2019,4,Gorakhpur ,483523,8086315,Central Region
uttar-pradesh,2019,4,Unnao ,143079,2076900,Central Region
uttar-pradesh,2019,4,Prayagraj ,738307,14253524,Central Region
uttar-pradesh,2019,4,Sonbhadra ,146957,2701941,Central Region
uttar-pradesh,2019,4,Ghazipur ,265215,4090265,Central Region
uttar-pradesh,2019,4,Farrukhabad ,111564,1622553,Central Region
uttar-pradesh,2019,4,Kannauj ,96093,1256010,Central Region
uttar-pradesh,2019,4,Azamgarh ,293685,4025457,Central Region
uttar-pradesh,2019,4,Ayodhya ,193592,3061016,Central Region
uttar-pradesh,2019,4,Deoria ,252687,4382125,Central Region
uttar-pradesh,2019,4,Ghaziabad ,1189357,26697427,Central Region
uttar-pradesh,2021,1,Amethi ,209408,3797616,Central Region
uttar-pradesh,2021,1,Siddharthnagar ,213056,5043863,Central Region
uttar-pradesh,2021,1,Auraiya ,162129,3205592,Central Region
uttar-pradesh,2021,1,Sambhal ,173933,3289299,Central Region
uttar-pradesh,2021,1,Kanpur Nagar ,1100587,21921245,Central Region
uttar-pradesh,2021,1,Aligarh ,588461,12681750,Central Region
uttar-pradesh,2021,1,Mahoba ,85807,1528269,Central Region
uttar-pradesh,2021,1,Lucknow ,1813076,43670344,Central Region
uttar-pradesh,2021,1,Sant Kabeer Nagar ,164355,3480061,Central Region
uttar-pradesh,2021,1,Hathras ,197275,3974475,Central Region
uttar-pradesh,2021,1,Budaun ,229929,3934634,Central Region
uttar-pradesh,2021,1,Moradabad ,399160,7973523,Central Region
uttar-pradesh,2021,1,Kushinagar ,437393,10502078,Central Region
uttar-pradesh,2021,1,Baghpat ,207627,5012968,Central Region
uttar-pradesh,2021,1,Shahjahanpur ,265197,4231018,Central Region
uttar-pradesh,2021,1,Muzaffarnagar ,387177,8303720,Central Region
uttar-pradesh,2021,1,Ambedkar Nagar ,259324,4376892,Central Region
uttar-pradesh,2021,1,Bahraich ,194163,3507029,Central Region
uttar-pradesh,2021,1,Jalaun ,195777,3709496,Central Region
uttar-pradesh,2021,1,Rampur ,211156,3922735,Central Region
uttar-pradesh,2021,1,Ballia ,412104,8444901,Central Region
uttar-pradesh,2021,1,Shravasti ,49462,912847,Central Region
uttar-pradesh,2021,1,Kasganj ,134535,2391474,Central Region
uttar-pradesh,2021,1,Varanasi ,1079309,19374684,Central Region
uttar-pradesh,2021,1,Gautam Buddha Nagar ,2181874,77986145,Central Region
uttar-pradesh,2021,1,Basti ,275414,5856483,Central Region
uttar-pradesh,2021,1,Shamli ,163182,3497004,Central Region
uttar-pradesh,2021,1,Maharajganj ,279707,5572104,Central Region
uttar-pradesh,2021,1,Etawah ,213975,4380134,Central Region
uttar-pradesh,2021,1,Etah ,183538,3456357,Central Region
uttar-pradesh,2021,1,Banda ,131226,2164421,Central Region
uttar-pradesh,2021,1,Bijnor ,381195,7407766,Central Region
uttar-pradesh,2021,1,Hardoi ,272411,4193558,Central Region
uttar-pradesh,2021,1,Balrampur ,127631,2667989,Central Region
uttar-pradesh,2021,1,Amroha ,208607,4613416,Central Region
uttar-pradesh,2021,1,Pilibhit ,199023,3097811,Central Region
uttar-pradesh,2021,1,Mainpuri ,212294,3847516,Central Region
uttar-pradesh,2021,1,Kanpur Dehat ,159123,3271176,Central Region
uttar-pradesh,2021,1,Jaunpur ,558808,10355919,Central Region
uttar-pradesh,2021,1,Kaushambi ,107994,1859694,Central Region
uttar-pradesh,2021,1,Hapur ,249914,6658932,Central Region
uttar-pradesh,2021,1,Hamirpur ,109551,1961142,Central Region
uttar-pradesh,2021,1,Meerut ,741901,16769292,Central Region
uttar-pradesh,2021,1,Mathura ,541676,13042102,Central Region
uttar-pradesh,2021,1,Chitrakoot ,76935,1446130,Central Region
uttar-pradesh,2021,1,Lalitpur ,132483,2886753,Central Region
uttar-pradesh,2021,1,Mau ,252570,4270719,Central Region
uttar-pradesh,2021,1,Mirzapur ,269927,4778747,Central Region
uttar-pradesh,2021,1,Bulandshahr ,461596,11278900,Central Region
uttar-pradesh,2021,1,Gonda ,261669,5605556,Central Region
uttar-pradesh,2021,1,Jhansi ,402240,9769874,Central Region
uttar-pradesh,2021,1,Chandauli ,259262,4759999,Central Region
uttar-pradesh,2021,1,Bhadohi ,196533,3395245,Central Region
uttar-pradesh,2021,1,Pratapgarh ,316627,5871740,Central Region
uttar-pradesh,2021,1,Saharanpur ,505178,11541497,Central Region
uttar-pradesh,2021,1,Bara Banki ,249182,4543982,Central Region
uttar-pradesh,2021,1,Bareilly ,662143,12240686,Central Region
uttar-pradesh,2021,1,Sitapur ,338854,4481686,Central Region
uttar-pradesh,2021,1,Sultanpur ,258614,4674936,Central Region
uttar-pradesh,2021,1,Agra ,974389,20226003,Central Region
uttar-pradesh,2021,1,Fatehpur ,193171,3064288,Central Region
uttar-pradesh,2021,1,Rae Bareli ,226301,3836529,Central Region
uttar-pradesh,2021,1,Firozabad ,353729,6411184,Central Region
uttar-pradesh,2021,1,Kheri ,380108,4949153,Central Region
uttar-pradesh,2021,1,Gorakhpur ,780306,16582486,Central Region
uttar-pradesh,2021,1,Unnao ,251530,4064340,Central Region
uttar-pradesh,2021,1,Prayagraj ,1143612,25056524,Central Region
uttar-pradesh,2021,1,Sonbhadra ,234618,5684193,Central Region
uttar-pradesh,2021,1,Ghazipur ,443311,8162326,Central Region
uttar-pradesh,2021,1,Farrukhabad ,198513,3663937,Central Region
uttar-pradesh,2021,1,Kannauj ,169332,2859076,Central Region
uttar-pradesh,2021,1,Azamgarh ,501473,8619959,Central Region
uttar-pradesh,2021,1,Ayodhya ,320746,5978927,Central Region
uttar-pradesh,2021,1,Deoria ,424347,9305742,Central Region
uttar-pradesh,2021,1,Ghaziabad ,1773332,47857733,Central Region
uttar-pradesh,2021,2,Amethi ,226201,6879206,Central Region
uttar-pradesh,2021,2,Siddharthnagar ,229685,10226449,Central Region
uttar-pradesh,2021,2,Auraiya ,174601,4883091,Central Region
uttar-pradesh,2021,2,Sambhal ,187852,4498363,Central Region
uttar-pradesh,2021,2,Kanpur Nagar ,1176708,16930729,Central Region
uttar-pradesh,2021,2,Aligarh ,631792,12930339,Central Region
uttar-pradesh,2021,2,Mahoba ,92930,4086641,Central Region
uttar-pradesh,2021,2,Lucknow ,1937173,24705951,Central Region
uttar-pradesh,2021,2,Sant Kabeer Nagar ,177099,4437809,Central Region
uttar-pradesh,2021,2,Hathras ,212672,4573599,Central Region
uttar-pradesh,2021,2,Budaun ,248263,7162914,Central Region
uttar-pradesh,2021,2,Moradabad ,428908,7369764,Central Region
uttar-pradesh,2021,2,Kushinagar ,470229,11818027,Central Region
uttar-pradesh,2021,2,Baghpat ,222933,5086018,Central Region
uttar-pradesh,2021,2,Shahjahanpur ,286698,7532278,Central Region
uttar-pradesh,2021,2,Muzaffarnagar ,415595,8851357,Central Region
uttar-pradesh,2021,2,Ambedkar Nagar ,279018,5561355,Central Region
uttar-pradesh,2021,2,Bahraich ,209657,7655689,Central Region
uttar-pradesh,2021,2,Jalaun ,211288,8295744,Central Region
uttar-pradesh,2021,2,Rampur ,227310,5032841,Central Region
uttar-pradesh,2021,2,Ballia ,442509,9636727,Central Region
uttar-pradesh,2021,2,Shravasti ,53629,2659985,Central Region
uttar-pradesh,2021,2,Kasganj ,145326,3605119,Central Region
uttar-pradesh,2021,2,Varanasi ,1154661,12765198,Central Region
uttar-pradesh,2021,2,Gautam Buddha Nagar ,2329954,43661492,Central Region
uttar-pradesh,2021,2,Basti ,296308,7659697,Central Region
uttar-pradesh,2021,2,Shamli ,175652,3959166,Central Region
uttar-pradesh,2021,2,Maharajganj ,301659,7372723,Central Region
uttar-pradesh,2021,2,Etawah ,230384,6030185,Central Region
uttar-pradesh,2021,2,Etah ,197793,5071736,Central Region
uttar-pradesh,2021,2,Banda ,141975,6108375,Central Region
uttar-pradesh,2021,2,Bijnor ,409603,10029061,Central Region
uttar-pradesh,2021,2,Hardoi ,294712,9801471,Central Region
uttar-pradesh,2021,2,Balrampur ,137921,6333564,Central Region
uttar-pradesh,2021,2,Amroha ,224885,5494608,Central Region
uttar-pradesh,2021,2,Pilibhit ,214517,4943692,Central Region
uttar-pradesh,2021,2,Mainpuri ,228922,6055383,Central Region
uttar-pradesh,2021,2,Kanpur Dehat ,172133,6549291,Central Region
uttar-pradesh,2021,2,Jaunpur ,600794,11888060,Central Region
uttar-pradesh,2021,2,Kaushambi ,116606,3186728,Central Region
uttar-pradesh,2021,2,Hapur ,268188,5684275,Central Region
uttar-pradesh,2021,2,Hamirpur ,118257,4805630,Central Region
uttar-pradesh,2021,2,Meerut ,794314,13475900,Central Region
uttar-pradesh,2021,2,Mathura ,582001,12381150,Central Region
uttar-pradesh,2021,2,Chitrakoot ,83116,4440540,Central Region
uttar-pradesh,2021,2,Lalitpur ,142831,6864129,Central Region
uttar-pradesh,2021,2,Mau ,271232,4803900,Central Region
uttar-pradesh,2021,2,Mirzapur ,290357,8046766,Central Region
uttar-pradesh,2021,2,Bulandshahr ,496067,12104966,Central Region
uttar-pradesh,2021,2,Gonda ,281740,9800069,Central Region
uttar-pradesh,2021,2,Jhansi ,431055,11420469,Central Region
uttar-pradesh,2021,2,Chandauli ,278397,5433024,Central Region
uttar-pradesh,2021,2,Bhadohi ,211236,3495393,Central Region
uttar-pradesh,2021,2,Pratapgarh ,341118,8581043,Central Region
uttar-pradesh,2021,2,Saharanpur ,542340,12209126,Central Region
uttar-pradesh,2021,2,Bara Banki ,268880,6420366,Central Region
uttar-pradesh,2021,2,Bareilly ,710778,11874626,Central Region
uttar-pradesh,2021,2,Sitapur ,366017,8689425,Central Region
uttar-pradesh,2021,2,Sultanpur ,278126,6392641,Central Region
uttar-pradesh,2021,2,Agra ,1044788,17308775,Central Region
uttar-pradesh,2021,2,Fatehpur ,208520,6732727,Central Region
uttar-pradesh,2021,2,Rae Bareli ,243531,6339664,Central Region
uttar-pradesh,2021,2,Firozabad ,380885,7080319,Central Region
uttar-pradesh,2021,2,Kheri ,410053,9353171,Central Region
uttar-pradesh,2021,2,Gorakhpur ,835887,15232883,Central Region
uttar-pradesh,2021,2,Unnao ,271165,7660427,Central Region
uttar-pradesh,2021,2,Prayagraj ,1225800,19820485,Central Region
uttar-pradesh,2021,2,Sonbhadra ,252013,10775729,Central Region
uttar-pradesh,2021,2,Ghazipur ,476105,9031373,Central Region
uttar-pradesh,2021,2,Farrukhabad ,213759,4862316,Central Region
uttar-pradesh,2021,2,Kannauj ,182579,4509174,Central Region
uttar-pradesh,2021,2,Azamgarh ,538771,10182944,Central Region
uttar-pradesh,2021,2,Ayodhya ,344791,6610650,Central Region
uttar-pradesh,2021,2,Deoria ,455328,9609305,Central Region
uttar-pradesh,2021,2,Ghaziabad ,1895314,30235059,Central Region
uttar-pradesh,2021,3,Amethi ,245887,6905900,Central Region
uttar-pradesh,2021,3,Siddharthnagar ,249111,11183058,Central Region
uttar-pradesh,2021,3,Auraiya ,189321,5320993,Central Region
uttar-pradesh,2021,3,Sambhal ,203883,5614377,Central Region
uttar-pradesh,2021,3,Kanpur Nagar ,1263050,21015827,Central Region
uttar-pradesh,2021,3,Aligarh ,681857,15510684,Central Region
uttar-pradesh,2021,3,Mahoba ,101383,4903489,Central Region
uttar-pradesh,2021,3,Lucknow ,2076033,36855345,Central Region
uttar-pradesh,2021,3,Sant Kabeer Nagar ,191948,4523934,Central Region
uttar-pradesh,2021,3,Hathras ,230320,5324600,Central Region
uttar-pradesh,2021,3,Budaun ,269703,8540101,Central Region
uttar-pradesh,2021,3,Moradabad ,462980,9348367,Central Region
uttar-pradesh,2021,3,Kushinagar ,508938,12748095,Central Region
uttar-pradesh,2021,3,Baghpat ,240441,5974261,Central Region
uttar-pradesh,2021,3,Shahjahanpur ,311858,8695760,Central Region
uttar-pradesh,2021,3,Muzaffarnagar ,448096,10778049,Central Region
uttar-pradesh,2021,3,Ambedkar Nagar ,302263,5779645,Central Region
uttar-pradesh,2021,3,Bahraich ,227941,9175141,Central Region
uttar-pradesh,2021,3,Jalaun ,229155,9250768,Central Region
uttar-pradesh,2021,3,Rampur ,246230,6259927,Central Region
uttar-pradesh,2021,3,Ballia ,478324,10195059,Central Region
uttar-pradesh,2021,3,Shravasti ,58737,3093685,Central Region
uttar-pradesh,2021,3,Kasganj ,158052,4070828,Central Region
uttar-pradesh,2021,3,Varanasi ,1239725,16646427,Central Region
uttar-pradesh,2021,3,Gautam Buddha Nagar ,2496114,59498265,Central Region
uttar-pradesh,2021,3,Basti ,320806,8006486,Central Region
uttar-pradesh,2021,3,Shamli ,189790,4953024,Central Region
uttar-pradesh,2021,3,Maharajganj ,327438,8011647,Central Region
uttar-pradesh,2021,3,Etawah ,249385,6874524,Central Region
uttar-pradesh,2021,3,Etah ,214709,5804468,Central Region
uttar-pradesh,2021,3,Banda ,154581,6510003,Central Region
uttar-pradesh,2021,3,Bijnor ,442548,11881536,Central Region
uttar-pradesh,2021,3,Hardoi ,320513,10250565,Central Region
uttar-pradesh,2021,3,Balrampur ,149985,6914313,Central Region
uttar-pradesh,2021,3,Amroha ,243686,6888875,Central Region
uttar-pradesh,2021,3,Pilibhit ,232754,5804732,Central Region
uttar-pradesh,2021,3,Mainpuri ,248343,6809626,Central Region
uttar-pradesh,2021,3,Kanpur Dehat ,187084,7063852,Central Region
uttar-pradesh,2021,3,Jaunpur ,650143,11804378,Central Region
uttar-pradesh,2021,3,Kaushambi ,126637,3417066,Central Region
uttar-pradesh,2021,3,Hapur ,288709,7010219,Central Region
uttar-pradesh,2021,3,Hamirpur ,128958,5101770,Central Region
uttar-pradesh,2021,3,Meerut ,853246,16882676,Central Region
uttar-pradesh,2021,3,Mathura ,628528,16338028,Central Region
uttar-pradesh,2021,3,Chitrakoot ,90553,5012442,Central Region
uttar-pradesh,2021,3,Lalitpur ,155272,9660592,Central Region
uttar-pradesh,2021,3,Mau ,292936,5134182,Central Region
uttar-pradesh,2021,3,Mirzapur ,314144,9607253,Central Region
uttar-pradesh,2021,3,Bulandshahr ,535699,13891421,Central Region
uttar-pradesh,2021,3,Gonda ,305366,10059982,Central Region
uttar-pradesh,2021,3,Jhansi ,464351,14635892,Central Region
uttar-pradesh,2021,3,Chandauli ,300595,6385377,Central Region
uttar-pradesh,2021,3,Bhadohi ,228222,3509928,Central Region
uttar-pradesh,2021,3,Pratapgarh ,369954,8547127,Central Region
uttar-pradesh,2021,3,Saharanpur ,584344,15615472,Central Region
uttar-pradesh,2021,3,Bara Banki ,291376,7899459,Central Region
uttar-pradesh,2021,3,Bareilly ,766809,14710344,Central Region
uttar-pradesh,2021,3,Sitapur ,397389,10389341,Central Region
uttar-pradesh,2021,3,Sultanpur ,301325,6580185,Central Region
uttar-pradesh,2021,3,Agra ,1124720,22075229,Central Region
uttar-pradesh,2021,3,Fatehpur ,226873,6986051,Central Region
uttar-pradesh,2021,3,Rae Bareli ,263613,7082526,Central Region
uttar-pradesh,2021,3,Firozabad ,412441,8589707,Central Region
uttar-pradesh,2021,3,Kheri ,446308,11738602,Central Region
uttar-pradesh,2021,3,Gorakhpur ,900171,17952101,Central Region
uttar-pradesh,2021,3,Unnao ,293971,8496052,Central Region
uttar-pradesh,2021,3,Prayagraj ,1320432,24937997,Central Region
uttar-pradesh,2021,3,Sonbhadra ,272567,14054719,Central Region
uttar-pradesh,2021,3,Ghazipur ,514893,9646966,Central Region
uttar-pradesh,2021,3,Farrukhabad ,231446,5518604,Central Region
uttar-pradesh,2021,3,Kannauj ,198231,5167434,Central Region
uttar-pradesh,2021,3,Azamgarh ,582049,10763238,Central Region
uttar-pradesh,2021,3,Ayodhya ,372839,7623642,Central Region
uttar-pradesh,2021,3,Deoria ,492048,10011054,Central Region
uttar-pradesh,2021,3,Ghaziabad ,2031752,38066824,Central Region
uttar-pradesh,2021,4,Amethi ,264472,8500647,Central Region
uttar-pradesh,2021,4,Siddharthnagar ,268126,11309904,Central Region
uttar-pradesh,2021,4,Auraiya ,203721,6612405,Central Region
uttar-pradesh,2021,4,Sambhal ,219722,7592584,Central Region
uttar-pradesh,2021,4,Kanpur Nagar ,1349794,34981290,Central Region
uttar-pradesh,2021,4,Aligarh ,731096,24940432,Central Region
