State,Year,Quarter,District,Registered_users,App_opens,Region
tamil-nadu,2022,1,Tirupathur ,317064,12811064,Southern Region
tamil-nadu,2022,1,Ariyalur ,134075,8238011,Southern Region
tamil-nadu,2022,1,Chennai ,2388315,10870012,Southern Region
tamil-nadu,2022,1,The Nilgiris ,173188,9788145,Southern Region
tamil-nadu,2022,1,Erode ,589462,16683133,Southern Region
tamil-nadu,2022,1,Karur ,222853,16310834,Southern Region
tamil-nadu,2022,1,Kallakkurichi ,306623,15612591,Southern Region
tamil-nadu,2022,1,Viluppuram ,379264,17225194,Southern Region
tamil-nadu,2022,1,Pudukkottai ,237115,22854053,Southern Region
tamil-nadu,2022,1,Perambalur ,112667,8040859,Southern Region
tamil-nadu,2022,1,Coimbatore ,1687096,27741808,Southern Region
tamil-nadu,2022,1,Virudhunagar ,346363,17177364,Southern Region
tamil-nadu,2022,1,Dindigul ,440072,27821213,Southern Region
tamil-nadu,2022,1,Sivaganga ,241188,20384928,Southern Region
tamil-nadu,2022,1,Tenkasi ,204182,9468909,Southern Region
tamil-nadu,2022,1,Chengalpattu ,1621177,16221250,Southern Region
tamil-nadu,2022,1,Kanniyakumari ,370820,5009074,Southern Region
tamil-nadu,2022,1,Tirunelveli ,338716,13100432,Southern Region
tamil-nadu,2022,1,Thiruvallur ,1970646,24538065,Southern Region
tamil-nadu,2022,1,Theni ,245438,12750343,Southern Region
tamil-nadu,2022,1,Ranipet ,325358,10227642,Southern Region
tamil-nadu,2022,1,Namakkal ,399282,14545554,Southern Region
tamil-nadu,2022,1,Vellore ,449961,11694691,Southern Region
tamil-nadu,2022,1,Thiruvarur ,170694,9618776,Southern Region
tamil-nadu,2022,2,Tiruchirappalli ,725751,23738205,Southern Region
tamil-nadu,2022,2,Ramanathapuram ,222241,19935706,Southern Region
tamil-nadu,2022,2,Krishnagiri ,818552,49292179,Southern Region
tamil-nadu,2022,2,Cuddalore ,556402,17547836,Southern Region
tamil-nadu,2022,2,Kancheepuram ,1220237,12030323,Southern Region
tamil-nadu,2022,2,Tiruppur ,1070480,29868571,Southern Region
tamil-nadu,2022,2,Dharmapuri ,427150,34230475,Southern Region
tamil-nadu,2022,2,Thoothukkudi ,345560,20332081,Southern Region
tamil-nadu,2022,2,Thanjavur ,470070,14935622,Southern Region
tamil-nadu,2022,2,Madurai ,864806,22632794,Southern Region
tamil-nadu,2022,2,Tiruvannamalai ,516276,33126041,Southern Region
tamil-nadu,2022,2,Salem ,954155,35441956,Southern Region
tamil-nadu,2022,2,Nagapattinam ,239174,11263032,Southern Region
tamil-nadu,2022,2,Tirupathur ,334378,15520642,Southern Region
tamil-nadu,2022,2,Ariyalur ,141760,9886229,Southern Region
tamil-nadu,2022,2,Chennai ,2509588,9484073,Southern Region
tamil-nadu,2022,2,The Nilgiris ,182412,13365582,Southern Region
tamil-nadu,2022,2,Erode ,621587,20007565,Southern Region
tamil-nadu,2022,2,Karur ,235178,21185242,Southern Region
tamil-nadu,2022,2,Kallakkurichi ,324021,17183000,Southern Region
tamil-nadu,2022,2,Viluppuram ,400301,18554839,Southern Region
tamil-nadu,2022,2,Pudukkottai ,250443,28296586,Southern Region
tamil-nadu,2022,2,Perambalur ,118807,8964011,Southern Region
tamil-nadu,2022,2,Coimbatore ,1775760,32370054,Southern Region
tamil-nadu,2022,2,Virudhunagar ,365515,20510885,Southern Region
tamil-nadu,2022,2,Dindigul ,464161,33849388,Southern Region
tamil-nadu,2022,2,Sivaganga ,254519,23366867,Southern Region
tamil-nadu,2022,2,Tenkasi ,215290,11631764,Southern Region
tamil-nadu,2022,2,Chengalpattu ,1704864,17802897,Southern Region
tamil-nadu,2022,2,Kanniyakumari ,390775,5454833,Southern Region
tamil-nadu,2022,2,Tirunelveli ,356993,15300245,Southern Region
tamil-nadu,2022,2,Thiruvallur ,2075274,26026849,Southern Region
tamil-nadu,2022,2,Theni ,258803,15309586,Southern Region
tamil-nadu,2022,2,Ranipet ,343090,11686387,Southern Region
tamil-nadu,2022,2,Namakkal ,421279,16353116,Southern Region
tamil-nadu,2022,2,Vellore ,473994,13056808,Southern Region
tamil-nadu,2022,2,Thiruvarur ,180074,10723137,Southern Region
tamil-nadu,2022,3,Tiruchirappalli ,763327,26991002,Southern Region
tamil-nadu,2022,3,Ramanathapuram ,233402,25202876,Southern Region
tamil-nadu,2022,3,Krishnagiri ,862231,58865896,Southern Region
tamil-nadu,2022,3,Cuddalore ,586020,19393232,Southern Region
tamil-nadu,2022,3,Kancheepuram ,1284243,13738417,Southern Region
tamil-nadu,2022,3,Tiruppur ,1128474,35519711,Southern Region
tamil-nadu,2022,3,Dharmapuri ,450260,37905962,Southern Region
tamil-nadu,2022,3,Thoothukkudi ,363372,25917848,Southern Region
tamil-nadu,2022,3,Thanjavur ,494223,16319851,Southern Region
tamil-nadu,2022,3,Madurai ,910111,25043694,Southern Region
tamil-nadu,2022,3,Tiruvannamalai ,543589,41520495,Southern Region
tamil-nadu,2022,3,Salem ,1005031,42989254,Southern Region
tamil-nadu,2022,3,Nagapattinam ,251603,14208231,Southern Region
tamil-nadu,2022,3,Tirupathur ,352443,18292108,Southern Region
tamil-nadu,2022,3,Ariyalur ,149084,10805808,Southern Region
